idx,season,wk,is_playoffs,tm_away_id,tm_home_id,pts_away,pts_home,tm_winner_id
1,2018,1,FALSE,5,13,97.52,119.02,13
2,2018,1,FALSE,8,3,86.64,139.46,3
3,2018,1,FALSE,14,1,136.68,104.24,14
4,2018,1,FALSE,15,12,100.44,117.78,12
5,2018,1,FALSE,2,9,110.64,133.46,9
6,2018,2,FALSE,8,5,83.74,90.9,5
7,2018,2,FALSE,13,14,89.2,87.66,13
8,2018,2,FALSE,3,15,131.72,107.18,3
9,2018,2,FALSE,1,2,151.6,155.9,2
10,2018,2,FALSE,12,9,105.98,96.76,12
11,2018,3,FALSE,5,14,82.58,73.62,5
12,2018,3,FALSE,15,8,107.78,107.7,15
13,2018,3,FALSE,2,13,122.7,116.9,2
14,2018,3,FALSE,9,3,115.16,114.96,9
15,2018,3,FALSE,12,1,120.42,115.3,12
16,2018,4,FALSE,15,5,137.38,123.98,15
17,2018,4,FALSE,14,2,149.46,93.94,14
18,2018,4,FALSE,8,9,82.72,132.66,9
19,2018,4,FALSE,13,12,94.12,79.38,13
20,2018,4,FALSE,3,1,165.86,156.2,3
21,2018,5,FALSE,5,2,95.72,100.48,2
22,2018,5,FALSE,9,15,112.3,126.22,15
23,2018,5,FALSE,12,14,119.28,104.94,12
24,2018,5,FALSE,1,8,112.7,94.48,1
25,2018,5,FALSE,3,13,124.62,123.44,3
26,2018,6,FALSE,9,5,99.04,139.56,5
27,2018,6,FALSE,2,12,130.8,103.56,2
28,2018,6,FALSE,15,1,123.8,120.9,15
29,2018,6,FALSE,14,3,117.2,142.48,3
30,2018,6,FALSE,8,13,109.9,105.42,8
31,2018,7,FALSE,5,12,79.12,100.9,12
32,2018,7,FALSE,1,9,119.26,102.74,1
33,2018,7,FALSE,3,2,130.42,144.66,2
34,2018,7,FALSE,13,15,111.92,74.88,13
35,2018,7,FALSE,8,14,105.14,79.48,8
36,2018,8,FALSE,1,5,142.26,101.4,1
37,2018,8,FALSE,12,3,122.08,136.12,3
38,2018,8,FALSE,9,13,142.26,128.4,9
39,2018,8,FALSE,2,8,101.66,173.46,8
40,2018,8,FALSE,15,14,103.4,65.76,15
41,2018,9,FALSE,5,3,122.78,181.48,3
42,2018,9,FALSE,13,1,132.14,101.12,13
43,2018,9,FALSE,8,12,73.46,106,12
44,2018,9,FALSE,14,9,68.06,90.32,9
45,2018,9,FALSE,15,2,94.1,109.28,2
46,2018,10,FALSE,13,5,110.32,151.62,5
47,2018,10,FALSE,3,8,104.6,65.36,3
48,2018,10,FALSE,1,14,144,119.36,1
49,2018,10,FALSE,12,15,140.42,146.5,15
50,2018,10,FALSE,9,2,89.3,154.02,2
51,2018,11,FALSE,5,8,106.34,99.58,5
52,2018,11,FALSE,14,13,113.24,125.92,13
53,2018,11,FALSE,15,3,141.42,132.72,15
54,2018,11,FALSE,2,1,113.88,100.64,2
55,2018,11,FALSE,9,12,111.18,148.76,12
56,2018,12,FALSE,14,5,103.96,111.82,5
57,2018,12,FALSE,8,15,73.08,108.88,15
58,2018,12,FALSE,13,2,139.04,127.14,13
59,2018,12,FALSE,3,9,131.84,133.72,9
60,2018,12,FALSE,1,12,123.58,123.82,12
61,2018,13,TRUE,15,3,216.98,191.64,15
62,2018,13,TRUE,12,2,249.12,207.94,12
63,2018,13,TRUE,9,13,174.88,182.98,13
64,2018,13,TRUE,1,5,208.9,201.5,1
65,2018,13,TRUE,14,8,235.06,125.46,14
66,2018,14,TRUE,15,12,211.06,266.64,12
67,2018,14,TRUE,2,3,209.78,206.34,2
68,2018,14,TRUE,1,13,200.82,204.3,13
69,2018,14,TRUE,14,9,145.76,204.56,9
70,2018,14,TRUE,8,5,150.92,196.48,5
